Price Rooms Bedrms Baths HaBaths Garages Place
210000 4 2 1 0 0 0
269000 6 2 1 0 0 0
269900 6 3 1 1 0 0
278000 6 3 1 0 1 0
284900 7 3 1 0 2 0
289900 6 3 1 1 0 0
294900 7 3 1 0 1 0
294900 5 2 1 0 1 0
299000 9 3 1 1 0 0
304900 8 4 1 1 0 0
309900 6 3 1 0 0 0
309900 8 4 2 0 0 0
310000 7 3 1 0 0 0
319900 7 3 1 1 1 0
329900 6 4 2 0 0 0
329900 6 3 2 0 0 0
334900 8 3 2 0 0 0
339900 7 3 2 0 2 0
345900 8 4 2 1 1 0
349900 7 3 2 1 2 0
349900 6 4 1 1 0 0
349900 7 3 2 1 2 0
349900 6 3 1 1 0 0
359000 7 3 1 1 2 0
359900 9 3 2 2 2 0
359900 7 3 1 0 1 0
359900 7 3 2 0 0 0
359900 9 4 2 1 0 0
369900 7 3 1 1 1 0
369900 9 4 2 1 0 0
369900 8 4 1 1 2 0
370000 6 3 1 0 3 0
379900 7 3 3 0 2 0
382900 7 4 2 1 0 0
384900 9 4 2 1 2 0
389900 8 4 2 1 2 0
389900 9 4 2 1 0 0
395000 10 4 2 1 1 0
399000 9 4 2 0 2 0
399900 8 4 3 1 2 0
399900 9 4 1 1 1 0
399900 8 4 2 0 2 0
409000 9 4 3 0 2 0
415000 8 3 2 1 2 0
419900 9 4 1 2 0 0
429900 5 3 1 0 1 0
439000 8 4 2 1 2 0
439500 10 4 2 1 2 0
439900 9 4 2 1 3 0
439900 9 4 3 0 2 0
459900 9 4 2 1 2 0
475000 8 4 2 1 0 0
479000 11 4 2 1 2 0
499900 7 4 2 1 2 0
505000 9 4 2 1 2 0
509900 9 4 3 1 2 0
574000 8 4 2 1 2 0
584000 9 4 3 0 2 0
598500 9 4 2 1 2 0
639900 10 4 2 1 2 0
687900 9 4 3 0 3 0
699900 7 2 2 0 2 0
724900 7 3 2 1 2 0
725000 8 4 2 1 3 0
729900 9 4 2 1 2 0
749900 26 11 7 2 0 0
779900 9 4 2 1 2 0
849900 9 4 2 1 2 0
849900 9 4 2 1 2 0
865000 9 4 5 0 2 0
899900 9 4 2 1 2 0
1050000 8 3 2 2 3 0
1100000 9 4 2 1 3 0
299900 6 3 2 0 0 0
299900 7 3 2 0 1 0
334900 10 5 2 0 1 0
349900 9 4 1 1 1 0
367500 9 4 3 0 0 0
369900 10 3 3 0 1 0
539900 12 5 4 0 2 0
549900 8 4 2 1 2 0
599900 9 4 2 1 2 0
293500 7 3 2 0 1 0
649000 13 6 3 1 2 0
269900 6 3 1 0 0 1
284900 6 2 1 0 1 1
290500 6 3 1 0 0 1
299900 8 3 1 0 0 1
299900 5 2 1 0 0 1
319900 5 3 1 1 0 1
319999 6 2 1 0 1 1
329000 8 3 1 0 0 1
349000 9 5 2 0 1 1
349900 6 3 1 0 1 1
349900 7 2 2 0 1 1
360000 6 2 2 0 0 1
369900 8 5 2 0 1 1
369900 7 4 2 0 0 1
379000 7 3 1 1 1 1
379900 8 4 2 0 0 1
379900 8 3 2 1 0 1
399000 7 4 2 0 1 1
439900 7 5 2 0 0 1
545900 7 3 2 1 2 1
460000 8 4 2 0 0 1
469000 6 3 2 0 0 1
495000 13 5 1 2 0 1
539000 8 3 2 1 0 1
549000 8 3 2 1 2 1
559000 8 4 2 1 2 1
559900 8 3 1 0 2 1
599000 8 4 2 1 2 1
599900 10 5 2 1 2 1
599900 8 4 2 1 2 1
609900 9 4 2 1 2 1
609900 9 4 2 1 2 1
619900 9 4 1 1 2 1
625000 8 3 1 1 0 1
669900 9 4 2 1 2 1
679000 8 4 2 0 2 1
689000 11 5 3 1 1 1
699000 12 4 3 1 4 1
699000 10 4 2 1 0 1
729900 9 4 2 2 2 1
735000 9 3 2 2 2 1
739500 10 4 3 0 0 1
815000 9 4 3 0 2 1
869990 8 4 2 1 2 1
879000 9 5 3 1 2 1
889990 10 5 3 0 2 1
995990 10 4 3 1 3 1
1050000 11 5 4 1 3 1
1150000 11 5 4 0 3 1
1195000 10 4 2 1 3 1
1275000 12 4 4 2 3 1
1425000 12 4 4 2 3 1
1495000 13 5 3 2 3 1
539900 9 4 2 0 0 1
